Sale Date,Product Category,Region,Sales Amount,Cost of Goods,Profit
2023-06-26,Books,West,558.43,386.21,172.22
2023-10-21,Electronics,North,452.55,285.16,167.39
2023-05-28,Food & Beverage,East,315.61,214.26,101.35
2023-03-19,Electronics,West,573.81,383.79,190.02
2023-05-26,Home Goods,West,916.3,475.07,441.23
2023-07-23,Books,North,486.58,277.2,209.38
2023-07-12,Clothing,West,387.96,159.11,228.85
2023-08-06,Books,East,368.98,222.44,146.54
2023-10-12,Food & Beverage,South,747.04,302.73,444.31
2023-12-13,Electronics,South,846.59,382.81,463.78
2023-06-22,Books,South,481.26,218.51,262.75
2023-02-25,Electronics,East,373.54,177.72,195.82
2023-10-23,Books,East,218.61,143.38,75.23
2023-08-25,Clothing,North,601.11,386.58,214.53
2023-04-03,Home Goods,South,14.94,8.65,6.29
2023-02-04,Food & Beverage,South,15.29,10.11,5.18
2023-10-10,Electronics,West,355.23,235.24,119.99
2023-12-14,Books,East,602.9,307.71,295.19
2023-10-10,Food & Beverage,South,920.33,511.46,408.87
2023-07-05,Food & Beverage,South,875.6,386.07,489.53
2023-01-12,Books,North,478.98,370.34,108.64
2023-04-05,Food & Beverage,East,572.25,351.21,221.04
2023-03-23,Food & Beverage,North,562.86,332.25,230.61
2023-06-01,Home Goods,West,965.24,638.82,326.42
2023-12-19,Electronics,North,262.65,202.92,59.73
2023-07-30,Books,East,139.67,107.86,31.81
2023-06-16,Books,North,637.81,489.11,148.7
2023-01-06,Electronics,South,706.29,465.12,241.17
2023-02-07,Electronics,West,574.77,241.44,333.33
2023-01-01,Books,South,355.98,192.1,163.88
2023-10-07,Home Goods,East,87.4,69.17,18.23
2023-01-20,Books,South,677.73,402.92,274.81
2023-02-13,Home Goods,West,678.16,480.49,197.67
2023-11-01,Electronics,West,123.64,50.16,73.48
2023-01-23,Books,South,441.84,322.52,119.32
2023-12-30,Books,West,548.34,232.29,316.05
2023-06-29,Clothing,North,197.49,148.6,48.89
2023-09-09,Home Goods,South,982.97,668.86,314.11
2023-01-04,Electronics,East,794.1,585.65,208.45
2023-09-12,Food & Beverage,North,754.43,409.73,344.7
2023-03-20,Electronics,East,947.37,747.49,199.88
2023-05-20,Home Goods,West,660.45,527.86,132.59
2023-08-17,Home Goods,West,453.15,202.32,250.83
2023-04-12,Electronics,West,916.62,608.27,308.35
2023-10-19,Food & Beverage,East,705.76,420.31,285.45
2023-04-29,Electronics,East,156.03,118.87,37.16
2023-05-11,Books,West,150.97,100.3,50.67
2023-10-18,Home Goods,East,490.95,316.96,173.99
2023-04-13,Clothing,North,309.42,155.58,153.84
2023-04-16,Clothing,North,648.25,494.46,153.79
2023-06-24,Home Goods,North,779.67,376.43,403.24
2023-07-01,Clothing,South,917.52,467.74,449.78
2023-03-25,Home Goods,West,840.52,663.15,177.37
2023-12-08,Clothing,North,223.74,132.77,90.97
2023-05-01,Home Goods,West,632.99,335.22,297.77
2023-09-28,Electronics,East,651.97,433.12,218.85
2023-04-26,Books,South,699.62,382.35,317.27
2023-08-07,Food & Beverage,East,141.04,59.84,81.2
2023-05-18,Food & Beverage,South,818.55,469.21,349.34
2023-09-29,Food & Beverage,North,155.59,100.8,54.79
2023-09-14,Electronics,North,474.94,210.23,264.71
2023-06-05,Home Goods,West,259.35,156.62,102.73
2023-07-31,Food & Beverage,West,702.74,523.17,179.57
2023-01-14,Clothing,West,151.57,115.06,36.51
2023-06-30,Clothing,North,986.45,588.65,397.8
2023-12-21,Electronics,North,812.38,381.86,430.52
2023-07-29,Home Goods,East,35.67,27.74,7.93
2023-12-16,Electronics,West,351.2,206.51,144.69
2023-06-06,Home Goods,East,877.55,391.58,485.97
2023-08-02,Home Goods,West,79.12,45.37,33.75
2023-10-25,Food & Beverage,South,124.0,57.57,66.43
2023-03-08,Books,South,788.51,396.4,392.11
2023-02-21,Food & Beverage,West,532.65,337.72,194.93
2023-01-20,Clothing,West,297.45,155.0,142.45
2023-10-21,Electronics,South,325.1,245.55,79.55
2023-09-22,Food & Beverage,South,284.31,211.91,72.4
2023-06-06,Books,North,263.76,181.2,82.56
2023-03-05,Electronics,West,950.0,584.43,365.57
2023-09-14,Home Goods,East,74.63,48.75,25.88
2023-04-10,Clothing,North,488.38,226.51,261.87
2023-06-30,Clothing,South,821.55,442.87,378.68
2023-06-28,Food & Beverage,North,632.98,290.22,342.76
2023-01-11,Home Goods,South,615.67,413.98,201.69
2023-10-14,Clothing,South,307.95,147.92,160.03
2023-03-14,Home Goods,North,96.73,69.27,27.46
2023-03-13,Electronics,North,411.4,166.64,244.76
2023-04-21,Food & Beverage,East,211.35,117.78,93.57
2023-03-22,Electronics,North,276.4,197.23,79.17
2023-07-22,Food & Beverage,East,344.07,242.43,101.64
2023-09-22,Books,North,355.41,183.19,172.22
2023-08-08,Food & Beverage,East,321.7,148.35,173.35
2023-12-18,Home Goods,South,398.06,199.5,198.56
2023-01-18,Electronics,North,437.72,307.53,130.19
2023-10-09,Clothing,West,349.84,150.85,198.99
2023-12-29,Food & Beverage,West,140.55,102.48,38.07
2023-08-14,Home Goods,East,610.86,386.08,224.78
2023-08-20,Books,South,755.22,387.08,368.14
2023-12-29,Home Goods,East,335.7,207.43,128.27
2023-08-26,Books,South,770.28,386.74,383.54
2023-01-14,Food & Beverage,West,620.62,489.54,131.08
2023-04-17,Food & Beverage,South,307.42,230.61,76.81
2023-07-13,Clothing,East,432.33,235.58,196.75
2023-08-02,Books,West,251.02,173.25,77.77
2023-04-10,Books,South,375.61,224.72,150.89
2023-11-11,Books,East,442.7,347.42,95.28
2023-04-05,Clothing,West,658.26,338.58,319.68
2023-06-25,Books,West,612.45,477.77,134.68
2023-09-23,Home Goods,West,560.59,294.76,265.83
2023-01-15,Clothing,North,612.09,280.38,331.71
2023-05-18,Food & Beverage,North,590.55,340.22,250.33
2023-12-18,Clothing,South,258.91,125.63,133.28
2023-03-24,Books,West,508.04,328.14,179.9
2023-03-03,Electronics,West,242.59,163.7,78.89
2023-06-20,Home Goods,North,105.25,83.97,21.28
2023-08-01,Food & Beverage,West,945.76,708.41,237.35
2023-05-24,Books,West,593.26,291.52,301.74
2023-10-29,Clothing,South,965.28,582.97,382.31
2023-05-20,Electronics,East,950.84,678.4,272.44
2023-07-22,Electronics,West,910.66,523.83,386.83
2023-09-06,Books,East,826.58,590.77,235.81
2023-03-15,Books,North,547.27,339.75,207.52
2023-09-23,Electronics,East,873.91,497.54,376.37
2023-07-20,Home Goods,East,915.59,697.12,218.47
2023-02-04,Home Goods,North,576.87,349.03,227.84
2023-07-23,Clothing,West,707.74,332.99,374.75
2023-06-17,Electronics,East,234.39,165.9,68.49
2023-04-17,Books,South,835.54,641.42,194.12
2023-04-28,Books,North,629.12,295.25,333.87
2023-10-10,Electronics,East,151.27,93.33,57.94
2023-09-05,Home Goods,North,74.74,45.43,29.31
2023-08-19,Clothing,South,763.27,470.24,293.03
2023-09-01,Clothing,North,68.45,39.41,29.04
2023-01-30,Food & Beverage,South,504.24,352.86,151.38
2023-06-15,Food & Beverage,East,351.61,203.88,147.73
2023-10-29,Books,West,135.55,90.31,45.24
2023-11-24,Books,South,995.87,607.36,388.51
2023-05-07,Books,East,986.07,478.14,507.93
2023-08-13,Electronics,North,353.12,267.56,85.56
2023-06-20,Electronics,West,159.84,121.58,38.26
2023-04-24,Books,East,966.51,556.2,410.31
2023-02-09,Home Goods,East,765.05,369.9,395.15
2023-01-05,Electronics,South,608.5,293.68,314.82
2023-08-27,Home Goods,North,768.68,550.41,218.27
2023-05-01,Food & Beverage,North,166.5,78.71,87.79
2023-12-03,Electronics,East,149.7,61.16,88.54
2023-02-03,Clothing,East,70.36,32.6,37.76
2023-09-26,Home Goods,East,494.19,322.51,171.68
2023-05-31,Clothing,North,802.76,433.97,368.79
2023-11-30,Home Goods,West,346.93,192.97,153.96
2023-09-01,Home Goods,North,828.48,649.91,178.57
2023-04-14,Home Goods,East,463.75,199.44,264.31
2023-08-29,Electronics,East,643.48,449.22,194.26
2023-09-25,Electronics,East,688.25,309.17,379.08
2023-01-03,Electronics,South,70.8,52.75,18.05
2023-08-26,Electronics,North,701.47,454.76,246.71
2023-02-12,Home Goods,South,211.03,101.28,109.75
2023-05-13,Clothing,East,787.75,481.67,306.08
2023-10-02,Clothing,North,665.07,371.93,293.14
2023-04-16,Clothing,South,935.36,589.58,345.78
2023-05-07,Clothing,East,555.28,277.11,278.17
2023-07-10,Books,North,816.82,592.4,224.42
2023-01-04,Food & Beverage,East,771.34,537.39,233.95
2023-07-10,Home Goods,South,610.16,271.22,338.94
2023-03-26,Electronics,South,353.15,145.78,207.37
2023-01-22,Food & Beverage,North,89.69,63.04,26.65
2023-05-05,Electronics,North,973.12,476.72,496.4
2023-12-10,Home Goods,North,104.13,72.65,31.48
2023-05-03,Home Goods,North,400.44,301.37,99.07
2023-08-03,Food & Beverage,East,224.67,98.18,126.49
2023-06-06,Home Goods,West,81.06,35.49,45.57
2023-05-14,Home Goods,West,702.73,415.33,287.4
2023-06-05,Electronics,South,119.63,87.71,31.92
2023-07-07,Electronics,East,749.05,558.56,190.49
2023-10-08,Food & Beverage,East,571.43,403.09,168.34
2023-07-30,Electronics,West,541.18,247.34,293.84
2023-09-21,Books,North,721.89,503.24,218.65
2023-03-22,Electronics,South,333.0,148.14,184.86
2023-01-28,Food & Beverage,West,463.55,368.47,95.08
2023-01-03,Home Goods,East,385.18,266.84,118.34
2023-01-17,Clothing,West,195.17,119.62,75.55
2023-12-17,Books,North,160.69,94.74,65.95
2023-09-07,Food & Beverage,West,903.95,391.82,512.13
2023-12-30,Electronics,West,903.46,616.46,287.0
2023-10-15,Clothing,South,521.61,373.21,148.4
2023-09-19,Home Goods,East,400.99,242.79,158.2
2023-06-28,Food & Beverage,South,838.78,643.57,195.21
2023-04-16,Books,North,108.21,79.43,28.78
2023-10-31,Clothing,West,154.64,81.09,73.55
2023-12-25,Electronics,West,427.99,326.72,101.27
2023-12-14,Clothing,North,584.62,380.34,204.28
2023-05-16,Home Goods,East,617.21,390.38,226.83
2023-12-07,Home Goods,West,813.54,477.59,335.95
2023-01-13,Home Goods,South,187.37,105.39,81.98
2023-09-27,Home Goods,South,729.69,433.8,295.89
2023-02-01,Electronics,East,982.8,403.99,578.81
2023-02-26,Electronics,East,38.42,21.0,17.42
2023-07-03,Electronics,North,240.34,149.15,91.19
2023-04-19,Books,East,685.38,334.54,350.84
2023-08-24,Clothing,North,65.48,36.38,29.1
2023-11-18,Home Goods,West,360.22,191.53,168.69
2023-02-09,Books,North,45.88,22.78,23.1
2023-03-30,Books,West,316.03,227.26,88.77
2023-10-07,Electronics,South,591.33,256.22,335.11
2023-02-26,Books,North,103.83,71.19,32.64
2023-07-23,Home Goods,North,303.13,218.73,84.4
2023-03-27,Food & Beverage,West,805.57,415.21,390.36
2023-04-28,Food & Beverage,North,48.41,32.68,15.73
2023-07-09,Food & Beverage,North,329.28,182.66,146.62
2023-11-24,Food & Beverage,East,125.31,91.28,34.03
2023-11-17,Home Goods,East,503.69,219.04,284.65
2023-04-15,Clothing,North,845.82,567.69,278.13
2023-06-17,Food & Beverage,East,482.94,265.76,217.18
2023-01-17,Food & Beverage,West,831.91,662.71,169.2
2023-10-05,Home Goods,North,505.23,214.85,290.38
2023-04-12,Electronics,North,289.24,188.5,100.74
2023-04-12,Home Goods,North,198.4,155.52,42.88
2023-10-10,Books,South,990.74,728.41,262.33
2023-01-31,Food & Beverage,South,149.14,112.05,37.09
2023-12-29,Clothing,South,22.49,14.92,7.57
2023-05-03,Food & Beverage,West,267.34,193.4,73.94
2023-01-20,Food & Beverage,North,588.25,342.59,245.66
2023-10-16,Home Goods,West,495.1,351.91,143.19
2023-04-02,Food & Beverage,West,622.73,428.09,194.64
2023-12-06,Electronics,West,610.53,275.55,334.98
2023-02-08,Clothing,North,533.33,294.71,238.62
2023-11-05,Clothing,East,918.87,569.3,349.57
2023-07-24,Food & Beverage,East,746.43,396.86,349.57
2023-07-27,Electronics,North,456.45,332.58,123.87
2023-01-10,Books,South,707.8,459.62,248.18
2023-09-27,Books,North,638.9,309.95,328.95
2023-10-14,Food & Beverage,East,779.02,344.7,434.32
2023-12-15,Electronics,West,885.58,558.18,327.4
2023-05-15,Food & Beverage,North,306.69,237.61,69.08
2023-04-27,Food & Beverage,South,52.47,22.12,30.35
2023-06-07,Electronics,North,81.15,34.82,46.33
2023-11-11,Electronics,North,331.38,247.47,83.91
2023-07-25,Electronics,North,833.21,646.37,186.84
2023-11-25,Electronics,West,725.08,376.14,348.94
2023-12-27,Electronics,North,227.49,122.47,105.02
2023-07-25,Electronics,East,626.42,264.94,361.48
2023-09-16,Electronics,South,987.93,570.84,417.09
2023-07-25,Books,South,711.69,389.07,322.62
2023-03-26,Books,West,232.98,100.48,132.5
2023-03-03,Books,North,719.71,489.56,230.15
2023-11-30,Home Goods,East,833.36,385.36,448.0
2023-11-29,Home Goods,East,804.62,563.88,240.74
2023-05-30,Clothing,East,470.23,255.71,214.52
2023-03-31,Clothing,West,503.64,281.07,222.57
2023-03-13,Clothing,South,522.11,373.8,148.31
2023-11-03,Electronics,North,533.68,228.7,304.98
2023-10-20,Home Goods,North,161.94,92.19,69.75
2023-08-13,Electronics,East,562.58,419.53,143.05
2023-05-16,Clothing,East,352.1,245.55,106.55
2023-09-23,Books,North,232.71,123.5,109.21
2023-09-20,Home Goods,East,720.55,494.5,226.05
2023-10-21,Home Goods,South,545.26,254.43,290.83
2023-03-06,Electronics,North,603.78,439.81,163.97
2023-11-12,Home Goods,North,401.16,229.2,171.96
2023-07-07,Clothing,South,291.68,137.89,153.79
2023-03-06,Electronics,North,734.74,577.84,156.9
2023-02-09,Electronics,East,523.34,220.19,303.15
2023-11-13,Electronics,North,658.18,479.65,178.53
2023-08-02,Home Goods,South,530.09,382.12,147.97
2023-11-07,Clothing,North,594.8,253.46,341.34
2023-10-24,Clothing,South,555.22,259.42,295.8
2023-03-06,Home Goods,South,50.99,36.61,14.38
2023-08-11,Books,West,108.06,66.22,41.84
2023-02-23,Home Goods,South,457.4,278.1,179.3
2023-01-03,Electronics,North,293.2,198.36,94.84
2023-11-19,Food & Beverage,South,244.48,164.73,79.75
2023-06-10,Home Goods,South,196.55,127.73,68.82
2023-10-07,Electronics,South,292.05,127.0,165.05
2023-07-13,Food & Beverage,North,490.22,292.76,197.46
2023-03-17,Electronics,East,362.68,152.5,210.18
2023-09-22,Home Goods,South,375.56,209.69,165.87
2023-07-26,Clothing,East,23.61,14.08,9.53
2023-06-03,Food & Beverage,South,642.49,366.82,275.67
2023-11-14,Clothing,West,789.77,484.37,305.4
2023-09-17,Electronics,West,551.1,259.93,291.17
2023-06-15,Home Goods,South,629.41,346.3,283.11
2023-03-15,Books,West,218.35,162.46,55.89
2023-04-22,Food & Beverage,South,639.83,472.25,167.58
2023-07-06,Clothing,West,302.32,203.2,99.12
2023-01-09,Clothing,North,903.83,575.58,328.25
2023-07-22,Clothing,East,634.42,369.28,265.14
2023-07-14,Food & Beverage,South,22.39,15.57,6.82
2023-05-04,Home Goods,North,768.65,409.15,359.5
2023-09-14,Clothing,North,836.58,439.97,396.61
2023-07-08,Books,West,795.09,364.23,430.86
2023-12-19,Books,West,23.81,15.32,8.49
2023-10-09,Books,North,952.15,702.6,249.55
2023-07-20,Home Goods,West,515.93,328.22,187.71
2023-11-15,Food & Beverage,North,455.65,277.78,177.87
2023-05-16,Electronics,West,275.12,134.07,141.05
2023-06-27,Food & Beverage,West,783.64,552.8,230.84
2023-09-12,Home Goods,North,354.4,244.28,110.12
2023-05-17,Clothing,West,600.55,426.2,174.35
2023-11-14,Food & Beverage,West,875.32,352.53,522.79
2023-07-28,Electronics,South,55.91,25.97,29.94
2023-04-01,Food & Beverage,South,573.24,435.06,138.18
2023-05-18,Electronics,West,988.6,495.99,492.61
2023-06-06,Books,West,581.26,348.11,233.15
2023-07-25,Home Goods,South,57.53,44.41,13.12
2023-09-25,Books,North,972.28,426.43,545.85
2023-06-08,Electronics,North,101.0,40.49,60.51
2023-07-07,Electronics,East,789.41,499.59,289.82
2023-08-04,Books,East,262.01,200.24,61.77
2023-01-23,Home Goods,West,202.16,126.45,75.71
2023-07-20,Books,North,291.7,172.8,118.9
2023-11-10,Electronics,West,162.23,70.35,91.88
2023-05-19,Food & Beverage,South,825.06,334.54,490.52
2023-04-04,Books,West,229.97,165.27,64.7
2023-08-29,Books,East,400.32,240.61,159.71
2023-05-18,Books,North,323.61,250.58,73.03
2023-06-02,Electronics,South,549.93,388.35,161.58
2023-11-12,Home Goods,North,144.98,78.73,66.25
2023-07-26,Electronics,North,443.02,329.42,113.6
2023-09-24,Books,East,215.99,154.12,61.87
2023-01-21,Clothing,North,212.33,168.52,43.81
2023-01-20,Food & Beverage,East,506.26,326.63,179.63
2023-12-24,Home Goods,North,988.15,571.51,416.64
2023-11-23,Clothing,North,78.08,51.3,26.78
2023-01-05,Books,East,103.27,72.45,30.82
2023-11-01,Electronics,South,593.58,467.67,125.91
2023-05-20,Clothing,North,53.89,38.45,15.44
2023-12-01,Clothing,South,504.83,313.34,191.49
2023-10-20,Books,South,666.58,448.61,217.97
2023-12-11,Food & Beverage,East,807.97,506.52,301.45
2023-02-12,Food & Beverage,West,753.49,499.17,254.32
2023-06-10,Food & Beverage,East,200.52,83.43,117.09
2023-06-03,Books,East,470.51,291.66,178.85
2023-04-12,Home Goods,North,403.42,275.4,128.02
2023-07-12,Home Goods,East,257.19,138.96,118.23
2023-01-27,Electronics,East,706.83,433.35,273.48
2023-01-25,Clothing,North,359.45,219.39,140.06
2023-09-27,Clothing,West,99.97,48.72,51.25
2023-02-26,Clothing,West,360.72,267.58,93.14
2023-01-28,Home Goods,North,423.57,281.01,142.56
2023-02-11,Clothing,South,884.25,429.33,454.92
2023-03-09,Clothing,North,155.11,94.2,60.91
2023-03-30,Electronics,South,518.24,397.23,121.01
2023-08-01,Home Goods,West,397.61,198.66,198.95
